dataset,variable,label,type,length,order,format
ADSL,STUDYID,Study Identifier,character,12,1,
ADSL,USUBJID,Unique Subject Identifier,character,11,2,
ADSL,SUBJID,Subject Identifier for the Study,character,4,3,
ADSL,RFSTDTC,Subject Reference Start Date/Time,character,10,4,
ADSL,RFENDTC,Subject Reference End Date/Time,character,10,5,
ADSL,RFXSTDTC,Date/Time of First Study Treatment,character,10,6,
ADSL,RFXENDTC,Date/Time of Last Study Treatment,character,10,7,
ADSL,RFICDTC,Date/Time of Informed Consent,character,19,8,
ADSL,RFPENDTC,Date/Time of End of Participation,character,16,9,
ADSL,DTHDTC,Date/Time of Death,character,10,10,
ADSL,DTHFL,Subject Death Flag,character,1,11,
ADSL,SITEID,Study Site Identifier,character,3,12,
ADSL,BRTHDTC,Date/Time of Birth,character,10,13,
ADSL,AGE,Age,numeric,8,14,
ADSL,AGEU,Age Units,character,5,15,
ADSL,SEX,Sex,character,1,16,
ADSL,RACE,Race,character,32,17,
ADSL,ETHNIC,Ethnicity,character,22,18,
ADSL,ARMCD,Planned Arm Code,character,8,19,
ADSL,ARM,Description of Planned Arm,character,20,20,
ADSL,ACTARMCD,Actual Arm Code,character,8,21,
ADSL,ACTARM,Description of Actual Arm,character,20,22,
ADSL,COUNTRY,Country,character,3,23,
ADSL,DMDTC,Date/Time of Collection,character,10,24,
ADSL,DMDY,Study Day of Collection,numeric,8,25,
ADSL,ARMNRS,Reason Arm and/or Actual Arm is Null,character,14,26,
ADSL,ACTARMUD,Description of Unplanned Actual Arm,character,40,27,
ADSL,TRT01P,Planned Treatment for Period 01,character,20,28,
ADSL,TRT01A,Actual Treatment for Period 01,character,20,29,
ADSL,TRTSDTM,Datetime of First Exposure to Treatment,numeric,8,30,DATETIME20.
ADSL,TRTSTMF,Time Imputation Flag for TRTSDTM,character,1,31,
ADSL,TRTEDTM,Datetime of Last Exposure to Treatment,numeric,8,32,DATETIME20.
ADSL,TRTETMF,Time Imputation Flag for TRTEDTM,character,1,33,
ADSL,TRTSDT,Date of First Exposure to Treatment,numeric,8,34,DATE9.
ADSL,TRTEDT,Date of Last Exposure to Treatment,numeric,8,35,DATE9.
ADSL,TRTDURD,Total Treatment Duration (Days),numeric,8,36,
ADSL,RANDDT,Date of Randomization,numeric,8,37,DATE9.
ADSL,EOSDT,End of Study Date,numeric,8,38,DATE9.
ADSL,EOSSTT,End of Study Status,character,12,39,
ADSL,DCSREAS,Reason for Discontinuation from Study,character,27,40,
ADSL,DTHDT,Date of Death,numeric,8,41,DATE9.
ADSL,DTHDTF,Date of Death Imputation Flag,character,1,42,
ADSL,SAFFL,Safety Population Flag,character,1,43,
ADSL,ITTFL,Intent-To-Treat Population Flag,character,1,44,
ADSL,AGEGR1N,Pooled Age Group 1 (N),numeric,8,45,
ADSL,AGEGR1,Pooled Age Group 1,character,5,46,
ADLB,STUDYID,Study Identifier,character,12,1,
ADLB,USUBJID,Unique Subject Identifier,character,11,2,
ADLB,ASEQ,Analysis Sequence Number,numeric,8,3,
ADLB,TRTP,Planned Treatment,character,20,4,
ADLB,TRTA,Actual Treatment,character,20,5,
ADLB,TRT01P,Planned Treatment for Period 01,character,20,6,
ADLB,TRT01A,Actual Treatment for Period 01,character,20,7,
ADLB,TRTSDT,Date of First Exposure to Treatment,numeric,8,8,DATE9.
ADLB,TRTEDT,Date of Last Exposure to Treatment,numeric,8,9,DATE9.
ADLB,SAFFL,Safety Population Flag,character,1,10,
ADLB,ITTFL,Intent-To-Treat Population Flag,character,1,11,
ADLB,AGEGR1,Pooled Age Group 1,character,5,12,
ADLB,SEX,Sex,character,1,13,
ADLB,PARAMCD,Parameter Code,character,5,14,
ADLB,PARAM,Parameter,character,32,15,
ADLB,PARAMN,Parameter (N),numeric,8,16,
ADLB,PARCAT1,Parameter Category 1,character,10,17,
ADLB,AVAL,Analysis Value,numeric,8,18,
ADLB,AVALC,Analysis Value (C),character,8,19,
ADLB,AVALU,Analysis Value Unit,character,6,20,
ADLB,ABLFL,Baseline Record Flag,character,1,21,
ADLB,BASE,Baseline Value,numeric,8,22,
ADLB,CHG,Change from Baseline,numeric,8,23,
ADLB,PCHG,Percent Change from Baseline,numeric,8,24,
ADLB,ANRLO,Analysis Normal Range Lower Limit,numeric,8,25,
ADLB,ANRHI,Analysis Normal Range Upper Limit,numeric,8,26,
ADLB,ANRIND,Analysis Reference Range Indicator,character,6,27,
ADLB,BNRIND,Baseline Reference Range Indicator,character,6,28,
ADLB,SHIFT1,Shift 1 (Baseline to Analysis Range),character,16,29,
ADLB,AVISIT,Analysis Visit,character,17,30,
ADLB,AVISITN,Analysis Visit (N),numeric,8,31,
ADLB,ADT,Analysis Date,numeric,8,32,DATE9.
ADLB,ADY,Analysis Relative Day,numeric,8,33,
ADLB,LBSEQ,Sequence Number,numeric,8,34,
ADLB,LBTESTCD,Lab Test or Examination Short Name,character,5,35,
ADLB,LBTEST,Lab Test or Examination Name,character,26,36,
ADLB,LBCAT,Category for Lab Test,character,10,37,
ADLB,LBSTRESN,Numeric Result/Finding in Std Units,numeric,8,38,
ADLB,LBBLFL,Baseline Flag,character,1,39,
ADLB,VISIT,Visit Name,character,17,40,
ADLB,VISITNUM,Visit Number,numeric,8,41,
ADLB,LBDTC,Date/Time of Specimen Collection,character,16,42,
ADAE,STUDYID,Study Identifier,character,12,1,
ADAE,USUBJID,Unique Subject Identifier,character,11,2,
ADAE,ASEQ,Analysis Sequence Number,numeric,8,3,
