TRT01P,AVISIT,AVISITN,n,mean_chg,se_chg
Placebo,SCREENING 1,1,86,0.08139534883720931,0.2238911673021406
Placebo,WEEK 12,9,67,0.16417910447761194,0.9026813204148286
Placebo,WEEK 16,10,68,-0.6470588235294118,0.8295901401600223
Placebo,WEEK 2,4,83,0.2891566265060241,0.855661706382263
Placebo,WEEK 20,11,65,-1.7538461538461538,0.77336389621984
Placebo,WEEK 24,12,57,-0.14035087719298245,2.1445914071370176
Placebo,WEEK 26,13,57,-1.8421052631578947,0.8487752763405334
Placebo,WEEK 4,5,79,0.7974683544303798,0.9562618830509378
Placebo,WEEK 6,7,73,-0.3698630136986301,0.8459112082186312
Placebo,WEEK 8,8,72,-0.9583333333333334,0.628122092484648
Xanomeline Low Dose,SCREENING 1,1,82,0.06097560975609756,0.29517221557765955
Xanomeline Low Dose,WEEK 12,9,51,0.4117647058823529,1.4053612948593723
Xanomeline Low Dose,WEEK 16,10,42,0.6904761904761905,0.8974658445893772
Xanomeline Low Dose,WEEK 2,4,80,2.775,0.7855448403512886
Xanomeline Low Dose,WEEK 20,11,30,1.1,0.9139405649832154
Xanomeline Low Dose,WEEK 24,12,26,1.8076923076923077,1.1395265288966168
Xanomeline Low Dose,WEEK 26,13,25,1.64,1.2817696100833929
Xanomeline Low Dose,WEEK 4,5,72,-0.625,0.5129151625817469
Xanomeline Low Dose,WEEK 6,7,62,-1.096774193548387,0.6575878864114106
Xanomeline Low Dose,WEEK 8,8,60,0.03333333333333333,0.7565035041485778
Xanomeline High Dose,SCREENING 1,1,84,0.13095238095238096,0.11333843164357149
Xanomeline High Dose,WEEK 12,9,50,0.9,1.242200154761621
Xanomeline High Dose,WEEK 16,10,37,-0.027027027027027025,1.1832708310396733
Xanomeline High Dose,WEEK 2,4,78,1.7179487179487178,0.7756915932581027
Xanomeline High Dose,WEEK 20,11,31,-0.25806451612903225,1.4954898085922188
Xanomeline High Dose,WEEK 24,12,30,0.26666666666666666,1.4597538237845586
Xanomeline High Dose,WEEK 26,13,27,-1.9259259259259258,1.2798303016136803
Xanomeline High Dose,WEEK 4,5,72,2.25,0.8254912702419672
Xanomeline High Dose,WEEK 6,7,66,1.7121212121212122,0.7394211657641564
Xanomeline High Dose,WEEK 8,8,56,3.3392857142857144,2.300518968231102
