group1,group1_level,avar_name,row_name,label_name,row_num,is_group_summary,node_class,Placebo,Xanomeline Low Dose,Xanomeline High Dose
AVISIT,SCREENING 1,AVAL,n,n,3,FALSE,DataRow,86,82,84
AVISIT,SCREENING 1,AVAL,Mean BASE,Mean BASE,4,FALSE,DataRow,17.5,17.9,19.1
AVISIT,SCREENING 1,AVAL,Mean AVAL,Mean AVAL,5,FALSE,DataRow,17.6,18.0,19.2
AVISIT,SCREENING 1,AVAL,Mean CHG,Mean CHG,6,FALSE,DataRow,0.1,0.1,0.1
AVISIT,WEEK 2,AVAL,n,n,8,FALSE,DataRow,83,80,78
AVISIT,WEEK 2,AVAL,Mean BASE,Mean BASE,9,FALSE,DataRow,17.7,18.1,19.2
AVISIT,WEEK 2,AVAL,Mean AVAL,Mean AVAL,10,FALSE,DataRow,18.0,20.9,21.0
AVISIT,WEEK 2,AVAL,Mean CHG,Mean CHG,11,FALSE,DataRow,0.3,2.8,1.7
AVISIT,WEEK 4,AVAL,n,n,13,FALSE,DataRow,79,72,72
AVISIT,WEEK 4,AVAL,Mean BASE,Mean BASE,14,FALSE,DataRow,17.9,18.2,19.1
AVISIT,WEEK 4,AVAL,Mean AVAL,Mean AVAL,15,FALSE,DataRow,18.7,17.5,21.3
AVISIT,WEEK 4,AVAL,Mean CHG,Mean CHG,16,FALSE,DataRow,0.8,-0.6,2.2
AVISIT,AMBUL ECG REMOVAL,AVAL,n,n,18,FALSE,DataRow,0,1,0
AVISIT,AMBUL ECG REMOVAL,AVAL,Mean BASE,Mean BASE,19,FALSE,DataRow,NA,19.0,NA
AVISIT,AMBUL ECG REMOVAL,AVAL,Mean AVAL,Mean AVAL,20,FALSE,DataRow,NA,15.0,NA
AVISIT,AMBUL ECG REMOVAL,AVAL,Mean CHG,Mean CHG,21,FALSE,DataRow,NA,-4.0,NA
AVISIT,WEEK 6,AVAL,n,n,23,FALSE,DataRow,73,62,66
AVISIT,WEEK 6,AVAL,Mean BASE,Mean BASE,24,FALSE,DataRow,17.3,18.1,19.5
AVISIT,WEEK 6,AVAL,Mean AVAL,Mean AVAL,25,FALSE,DataRow,17.0,17.0,21.2
AVISIT,WEEK 6,AVAL,Mean CHG,Mean CHG,26,FALSE,DataRow,-0.4,-1.1,1.7
AVISIT,WEEK 8,AVAL,n,n,28,FALSE,DataRow,72,60,56
AVISIT,WEEK 8,AVAL,Mean BASE,Mean BASE,29,FALSE,DataRow,17.7,17.6,19.4
AVISIT,WEEK 8,AVAL,Mean AVAL,Mean AVAL,30,FALSE,DataRow,16.7,17.6,22.8
AVISIT,WEEK 8,AVAL,Mean CHG,Mean CHG,31,FALSE,DataRow,-1.0,0.0,3.3
AVISIT,WEEK 12,AVAL,n,n,33,FALSE,DataRow,67,51,50
AVISIT,WEEK 12,AVAL,Mean BASE,Mean BASE,34,FALSE,DataRow,17.8,18.1,20.1
AVISIT,WEEK 12,AVAL,Mean AVAL,Mean AVAL,35,FALSE,DataRow,18.0,18.5,21.0
AVISIT,WEEK 12,AVAL,Mean CHG,Mean CHG,36,FALSE,DataRow,0.2,0.4,0.9
AVISIT,WEEK 16,AVAL,n,n,38,FALSE,DataRow,68,42,37
AVISIT,WEEK 16,AVAL,Mean BASE,Mean BASE,39,FALSE,DataRow,17.7,16.6,19.6
AVISIT,WEEK 16,AVAL,Mean AVAL,Mean AVAL,40,FALSE,DataRow,17.1,17.3,19.6
AVISIT,WEEK 16,AVAL,Mean CHG,Mean CHG,41,FALSE,DataRow,-0.6,0.7,-0.0
AVISIT,WEEK 20,AVAL,n,n,43,FALSE,DataRow,65,30,31
AVISIT,WEEK 20,AVAL,Mean BASE,Mean BASE,44,FALSE,DataRow,17.8,15.6,19.8
AVISIT,WEEK 20,AVAL,Mean AVAL,Mean AVAL,45,FALSE,DataRow,16.1,16.7,19.6
AVISIT,WEEK 20,AVAL,Mean CHG,Mean CHG,46,FALSE,DataRow,-1.8,1.1,-0.3
AVISIT,WEEK 24,AVAL,n,n,48,FALSE,DataRow,57,26,30
AVISIT,WEEK 24,AVAL,Mean BASE,Mean BASE,49,FALSE,DataRow,18.0,16.4,20.7
AVISIT,WEEK 24,AVAL,Mean AVAL,Mean AVAL,50,FALSE,DataRow,17.9,18.2,21.0
AVISIT,WEEK 24,AVAL,Mean CHG,Mean CHG,51,FALSE,DataRow,-0.1,1.8,0.3
AVISIT,WEEK 26,AVAL,n,n,53,FALSE,DataRow,57,25,27
AVISIT,WEEK 26,AVAL,Mean BASE,Mean BASE,54,FALSE,DataRow,17.9,16.2,20.8
AVISIT,WEEK 26,AVAL,Mean AVAL,Mean AVAL,55,FALSE,DataRow,16.0,17.8,18.9
AVISIT,WEEK 26,AVAL,Mean CHG,Mean CHG,56,FALSE,DataRow,-1.8,1.6,-1.9
AVISIT,RETRIEVAL,AVAL,n,n,58,FALSE,DataRow,0,1,0
AVISIT,RETRIEVAL,AVAL,Mean BASE,Mean BASE,59,FALSE,DataRow,NA,23.0,NA
AVISIT,RETRIEVAL,AVAL,Mean AVAL,Mean AVAL,60,FALSE,DataRow,NA,13.0,NA
AVISIT,RETRIEVAL,AVAL,Mean CHG,Mean CHG,61,FALSE,DataRow,NA,-10.0,NA
